Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='158', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='5841352721618', code=None, date=datetime.datetime(2024, 1, 1, 2, 5, 1), service='ДТ-Зим', sum=56240, volume=760)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='9986', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='6403076429836', code=None, date=datetime.datetime(2024, 1, 1, 3, 8, 43), service='АИ-92', sum=14490, volume=230)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='277', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='5772283168759', code=None, date=datetime.datetime(2024, 1, 1, 3, 17, 4), service='АИ-95', sum=42340, volume=580)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='277', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='5772283168759', code=None, date=datetime.datetime(2024, 1, 1, 3, 48, 2), service='АИ-95', sum=-36121, volume=-495)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='454', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='7416021576238', code=None, date=datetime.datetime(2024, 1, 1, 9, 16, 16), service='ДТ-Зим', sum=46150, volume=650)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='545', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='3213798238281', code=None, date=datetime.datetime(2024, 1, 1, 11, 12, 49), service='АИ-92', sum=25830, volume=410)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='157', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='7416021576238', code=None, date=datetime.datetime(2024, 1, 1, 11, 43, 33), service='АИ-95', sum=29250, volume=390)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='256', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='3213798238281', code=None, date=datetime.datetime(2024, 1, 1, 20, 47, 12), service='ДТ', sum=34680, volume=510)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='305', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='5550970620959', code=None, date=datetime.datetime(2024, 1, 2, 0, 1, 5), service='АИ-92', sum=12800, volume=160)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='637', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='5841352721618', code=None, date=datetime.datetime(2024, 1, 2, 1, 9, 43), service='АИ-95', sum=45880, volume=740)
Transaction(credential=Credential(url='https://test-app.avtoversant.ru', login='test', password='v78ilRB63Y1b', token='eyJpdiI6ImFxZVRXUWlpdmVTTHJMWXI2WVRRbmc9PSIsInZhbHVlIjoiT2taV2djQkhPSm1sak9TZDJRQVdTWFhVckhmbi8wanJnb3Q0S2RoVCtlcjV6eHdNdHhWbXl5NXBDN3M2Z29FWmtXaEpSVGVpdFFxTS85bE84TTg0d2hTRC9LdGl2L3RmMWRWK01JL2V3NG1QMEZzeExkUGdYdmJWNDlMUVczRHoiLCJtYWMiOiI3ZjUzMGJiZTY3MTNkZmU5YjAyNWQ4MzJhYWM2Mzc4MWE4MjU2ZjdjYzJlMzNmZTMyY2NlYjBjN2FjNjI4NTE0IiwidGFnIjoiIn0%3D', contracts='001,003'), station=Station(code='498', name=None, brand=None, point=Point(lat=0, lng=0), address=None), card='7416021576238', code=None, date=datetime.datetime(2024, 1, 2, 3, 34, 57), service='АИ-92', sum=25600, volume=320)
